"FileName"	"CAS"	"Name"	"RT"	"RI"	"Width"	"Purity"	"Model"	"Min. Abund."	"Amount"	"Scan"	"Peak Tailing"	"S/N (total)"	"Base Peak"	"Max. Amount"	"Area"	"Intgr.Signal"	"Max. Area"	"Extra Width"	"Models"	"Frac. Good"	"Expec. RT"	"RI-RI(lib)"	"Net"	"Weighted"	"Simple"	"Reverse"	"Corrections"	"(m/z)"	"S/N (m/z)"	"Area % (m/z)"	"Conc."	"RT-RT(lib)"
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	91203	">Naphthalene"	10.8918	1168.9	5.8	"22%"	"128 m/z"	"10%"	"0.0138%"	1367	1.4	14	1759		0					0				74		83						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	112312	">Decanal"	11.1552	1185.1	4.6	"93%"	"57 m/z"	"0.32%"	"1.22%"	1413	1.3	155	53662		0					0				96		96						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	112312	">Decanal"	11.265	1191.8	5.8	"72%"	"57 m/z"	"2.2%"	"0.166%"	1432	1.3	52	7891		0					0				90		90						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	1122823	">Cyclohexane, isothiocyanato-"	11.6588	1217.2	9.7	"37%"	"TIC"	"4.1%"	"0.0441%"	1501	1.2	25	4227		0					0				78		78						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	1122823	">Cyclohexane, isothiocyanato-"	11.6633	1217.5	8.3	"56%"	"141 m/z"	"3.4%"	"0.0779%"	1502	1.5	30	5107		0					0				84		84						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	105602	">Caprolactam"	12.0794	1244.9	12	"89%"	"55 m/z"	"0.12%"	"3.45%"	1575	0.4	184	137608		0					0				95		96						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	112050	">Nonanoic acid"	12.1434	1249.1	">6"	"51%"	"TIC"	"2.2%"	"0.109%"	1586	1.9	50	7995		0					0				84		84						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	112050	">Nonanoic acid"	12.1463	1249.3	6.1	"38%"	"60 m/z"	"2.3%"	"0.115%"	1587	1.6	41	7673		0					0				78		78						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	55771409	">2,4,6-Trimethyl-1-nonene"	12.2651	1257.2	6.3	"43%"	"TIC"	"3.0%"	"0.0646%"	1607	1.6	36	5725		0					0				78		84						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	2890677	">Cyclohexanemethyl propanoate"	12.5572	1276.4	5.5	"25%"	"TIC"	"6.9%"	"0.0220%"	1658	1.7	21	2556		0					0				59		72						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	112447	">Undecanal"	12.6869	1285	4.4	"80%"	"57 m/z"	"2.9%"	"0.137%"	1681	1.8	52	5921		0					0				93		93						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	88993	">1,2-Benzenedicarboxylic acid"	12.8995	1299	6.4	"30%"	"76 m/z (341)"	"10%"	"0.0181%"	1719	1.4	16	1698		0					0				78		78						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	540976	">Cyclohexasiloxane, dodecamethyl-"	12.9316	1301.2	5	"54%"	"341 m/z"	"2.2%"	"0.0747%"	1724	1.6	38	8040		0					0				90		91						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	334485	">n-Decanoic acid"	13.5202	1342.5	6.4	"66%"	"60 m/z"	"2.6%"	"0.190%"	1826	2.1	51	6796		0					0				87		87						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	17933298	">Bicyclo[3.3.1]nonan-3-one, 7-methylene-"	13.6368	1350.7	5.6	"33%"	"TIC"	"16%"	"0.0161%"	1847	1.3	21	1078		0					0				53		53						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	112414	">1-Dodecene"	13.8683	1366.9	5.1	"59%"	"TIC"	"6.5%"	"0.0396%"	1888	0.8	32	2705		0					0				88		88						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	563166	">Hexane, 3,3-dimethyl-"	13.9666	1373.8	5.5	"44%"	"TIC"	"4.1%"	"0.0254%"	1905	0.8	26	4214		0					0				77		83						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	112549	">Dodecanal"	14.1243	1384.9	4.6	"71%"	"57 m/z"	"3.3%"	"0.103%"	1933	1.1	47	5237		0					0				94		94						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	17027417	">Phosphoric acid, 2-chloroethenyl dimethyl ester"	14.2386	1393	7.5	"14%"	"TIC"	"11%"	"0.0105%"	1953	1.4	13	1534		0					0				77		83						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	54049240	">Heptanoic acid, 7-bromo-, methyl ester"	14.4787	1410.4	5.5	"25%"	"TIC"	"11%"	"0.0166%"	1995	1.5	20	1481		0					0				59		59						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	"EPA-329585"	">l-Norleucine, N-ethoxycarbonyl-, decyl ester"	14.7113	1427.7	6.6	"21%"	"158 m/z"	"4.6%"	"0.0174%"	2035	1.7	17	3827		0					0				83		86						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	102118241	">Methyl N-(thioformyl)dithiocarbamate"	14.7376	1429.6	8.6	"8.4%"	"TIC"	"18%"	"0.00676%"	2040	0.6	12	934		0					0				41		65						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	72439851	">3,5-Dibutoxy-1,1,1,7,7,7-hexamethyl-3,5-bis(trimethylsiloxy)tetrasiloxane"	15.2931	1470.9	7.9	"16%"	"TIC"	"5.7%"	"0.0296%"	2137	0.7	21	3098		0					0				35		42						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	62108229	">Decane, 2,5,9-trimethyl-"	15.3023	1471.6	5.5	"41%"	"57 m/z"	"2.8%"	"0.0570%"	2139	0.6	32	6110		0					0				84		84						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	75039848	">trans-2-Undecen-1-ol"	15.4754	1484.5	5.4	"42%"	"TIC"	"7.3%"	"0.0346%"	2169	1.7	31	2418		0					0				77		77						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	166273387	">Pentanoic acid, 5-hydroxy-, 2,4-di-t-butylphenyl esters"	15.5223	1488	4.8	"43%"	"191 m/z"	"1.7%"	"0.0631%"	2177	0.8	34	10222		0					0				84		84						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	637445	">Phenylpropiolic acid"	15.8475	1512.9	4.5	"3.9%"	"TIC"	"31%"	"0.00177%"	2234	2.1	8	567		0					0				53		72						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	112378	">Undecanoic acid"	16.1138	1533.8	6.8	"39%"	"TIC"	"6.9%"	"0.0495%"	2281	2	30	2539		0					0				66		68						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	544763	">Hexadecane"	16.5636	1569.2	4.6	"70%"	"TIC"	"1.2%"	"0.123%"	2359	1.2	56	14739		0					0				90		90						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	84662	">Diethyl Phthalate"	16.6162	1573.3	5	"6.7%"	"149 m/z"	"5.4%"	"0.0243%"	2369	1.1	20	3244		0					0				83		83						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	6846500	">2,2,4-Trimethyl-1,3-pentanediol diisobutyrate"	16.6362	1574.9	4.6	"84%"	"71 m/z"	"0.14%"	"0.632%"	2372	1	116	120175		0					0				92		92						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	629801	">Hexadecanal"	16.7528	1584.1	5.7	"38%"	"TIC"	"7.0%"	"0.0373%"	2392	0.9	31	2495		0					0				80		80						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	556683	">Cyclooctasiloxane, hexadecamethyl-"	17.3855	1635.8	5.4	"37%"	"73 m/z (101)"	"2.2%"	"0.0977%"	2503	0.8	41	8030		0					0				83		88						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	26807658	">Indapamide"	17.3895	1636.1	8.9	"19%"	"TIC"	"6.0%"	"0.0575%"	2504	1.6	30	2908		0					0				40		65						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	"EPA-325943"	">1,2-Benzenediol, o-(acethoxyacetyl)-o'-(5-chlorovaleryl)-"	17.4186	1638.6	">5"	"17%"	"101 m/z"	"6.9%"	"0.0236%"	2509	1.2	23	2548		0					0				34		52						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	629787	">Heptadecane"	17.7616	1667.1	4.7	"68%"	"TIC"	"0.75%"	"0.194%"	2569	1	70	23441		0					0				90		90						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	6975980	">Decane, 2-methyl-"	17.833	1673	5.7	"29%"	"TIC"	"3.7%"	"0.0206%"	2581	1.5	28	4691		0					0				80		82						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	19812647	">1,14-Tetradecanediol"	17.9645	1684	5.6	"36%"	"TIC"	"6.2%"	"0.0408%"	2604	1.3	31	2824		0					0				78		78						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	627690	">1,2-Propanediol, 1-acetate"	18.0691	1692.7	3.9	"12%"	"74 m/z"	"9.8%"	"0.0107%"	2623	1.2	15	1796		0					0				64		72						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	2719622	">Benzene, (1-pentylheptyl)-"	18.1662	1700.8	7	"10%"	"TIC"	"9.6%"	"0.00615%"	2640	1	15	1824		0					0				53		53						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	544763	">Hexadecane"	18.8966	1765.7	4.5	"51%"	"57 m/z"	"1.4%"	"0.0998%"	2768	0.9	49	12351		0					0				85		85						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	82360143	">2,2-Dimethyl-propyl 2,2-dimethyl-propanesulfinyl sulfone"	19.0081	1775.6	6.7	"24%"	"TIC"	"3.4%"	"0.0282%"	2787	0.8	28	5106		0					0				76		89						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	59014038	">.alpha.-Multistriatin"	19.1161	1785.2	7	"4.9%"	"TIC"	"11%"	"0.00321%"	2806	0.6	11	1516		0					0				51		51						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	556718	">Cyclononasiloxane, octadecamethyl-"	19.2024	1792.8	4.7	"22%"	"73 m/z"	"3.5%"	"0.0267%"	2821	0.9	25	4922		0					0				66		66						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	22768225	">2,4-Diphenyl-4-methyl-2(E)-pentene"	19.4139	1814.9	5.2	"34%"	"143 m/z"	"5.0%"	"0.0821%"	2858	1.4	38	3485		0					0				82		82						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	"EPA-314911"	">Phthalic acid, cyclobutyl isobutyl ester"	19.6739	1844.5	5	"7.4%"	"149 m/z"	"5.5%"	"0.0127%"	2904	0.8	15	3205		0					0				78		78						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	10522266	">2-Methyl-1-undecanol"	19.7882	1857.5	8	"32%"	"TIC"	"4.8%"	"0.0579%"	2924	0.9	40	3682		0					0				84		84						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	"EPA-139894"	">1,6:3,4-Dianhydro-2-O-acetyl-.beta.-d-talopyranose"	19.8499	1864.5	3.9	"5.2%"	"TIC"	"8.1%"	"0.00254%"	2934	1.8	15	2158		0					0				51		51						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	118569	">Homosalate"	19.8899	1869	3.7	"17%"	"TIC"	"9.4%"	"0.0116%"	2941	1.3	28	1865		0					0				66		67						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	112390	">Hexadecanoic acid, methyl ester"	20.0694	1889.5	3.6	"48%"	"74 m/z"	"1.0%"	"0.146%"	2973	1.1	62	16372		0					0				87		88						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	84742	">Dibutyl phthalate"	20.4078	1934.8	3.7	"67%"	"149 m/z"	"0.18%"	"0.427%"	3032	1.1	103	96430		0					0				95		95						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	"EPA-202150"	">1-Phenyl-4-(3,5-dimethylphenyl)buta-1,3-diene"	20.5615	1956.5	4.1	"27%"	"219 m/z"	"3.6%"	"0.0933%"	3059	1.1	47	4821		0					0				68		68						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	108974	">4H-Pyran-4-one"	20.7467	1982.7	3.8	"3.2%"	"TIC"	"12%"	"0.00205%"	3091	1.5	14	1370		0					0				75		75						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	36653824	">1-Hexadecanol"	21.1902	2053.3	6.3	"31%"	"TIC"	"2.3%"	"0.104%"	3169	1.7	58	7594		0					0				88		88						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	13393607	">1,4,9-Decatriene, (E)-"	21.6903	2136.2	3.7	"22%"	"81 m/z"	"1.6%"	"0.109%"	3256	1.2	55	10647		0					0				69		78						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	20633038	">3,4-Hexanedione, 2,2,5-trimethyl-"	21.7463	2145.5	4.2	"5.8%"	"57 m/z"	"3.5%"	"0.0197%"	3266	1.3	26	5054		0					0				75		77						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	"EPA-309202"	">Sulfurous acid, 2-ethylhexyl hexyl ester"	22.3007	2237.4	4.2	"4.5%"	"57 m/z"	"3.5%"	"0.0211%"	3363	0.8	25	4962		0					0				74		77						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\AMBIENT243_170405_4.FIN"	1072168	">Octane, 2,7-dimethyl-"	22.879	2333.3	4.5	"5.7%"	"57 m/z"	"3.2%"	"0.0311%"	3464	0.9	30	5414		0					0				82		84						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\SHOOKERI280_170412_3.FIN"	1629589	">1-Penten-3-one"	3.2782	744.5	6.5	"87%"	"55 m/z"	"0.33%"	"0.268%"	35	4.3	75	68331		0					0				79		84						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\SHOOKERI280_170412_3.FIN"	79312	">Propanoic acid, 2-methyl-"	3.4393	753.2	9.2	"31%"	"73 m/z (91)"	"4.8%"	"0.0260%"	63	0.4	20	4696		0					0				86		86						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\SHOOKERI280_170412_3.FIN"	108883	">Toluene"	3.4794	755.3	6.5	"59%"	"91 m/z"	"2.7%"	"0.0488%"	70	1	33	8196		0					0				94		94						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\SHOOKERI280_170412_3.FIN"	872560	">Isopropylcyclobutane"	3.8537	775.6	6.8	"55%"	"TIC"	"6.3%"	"0.0393%"	136	1.5	30	3577		0					0				74		88						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\SHOOKERI280_170412_3.FIN"	"EPA-320610"	">Glycine, N-methyl-N-methoxycarbonyl-, nonyl ester"	3.9017	778.2	4.4	"18%"	"102 m/z"	"9.3%"	"0.00653%"	144	3.7	13	2433		0					0				81		81						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\SHOOKERI280_170412_3.FIN"	66251	">Hexanal"	4.0257	784.9	6	"77%"	"56 m/z"	"1.0%"	"0.161%"	166	1.3	62	20870		0					0				93		93						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\SHOOKERI280_170412_3.FIN"	498602	">3-Furaldehyde"	4.2926	799.3	8.1	"53%"	"TIC"	"5.7%"	"0.0172%"	212	2.3	22	3957		0					0				93		93						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\SHOOKERI280_170412_3.FIN"	498602	">3-Furaldehyde"	4.2961	799.5	5.8	"58%"	"96 m/z"	"5.6%"	"0.0213%"	213	1.9	23	4024		0					0				93		93						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\SHOOKERI280_170412_3.FIN"	541059	">Cyclotrisiloxane, hexamethyl-"	4.4167	806	5.8	"59%"	"207 m/z"	"2.6%"	"0.0437%"	234	1.5	32	8447		0					0				91		91						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\SHOOKERI280_170412_3.FIN"	98011	">Furfural"	4.643	818.2	6.2	"32%"	"95 m/z"	"4.7%"	"0.0257%"	274	1.5	25	4814		0					0				94		94						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\SHOOKERI280_170412_3.FIN"	96048	">Acetyl valeryl"	4.6693	819.6	5.4	"76%"	"57 m/z"	"0.59%"	"0.140%"	278	1.4	61	38381		0					0				93		93						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\SHOOKERI280_170412_3.FIN"	98566	">Benzene, 1-chloro-4-(trifluoromethyl)-"	5.0288	839	4.7	"27%"	"161 m/z"	"9.3%"	"0.0235%"	341	1.2	27	2427		0					0				81		81						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\SHOOKERI280_170412_3.FIN"	928961	">3-Hexen-1-ol, (Z)-"	5.0505	840.2	6.4	"82%"	"67 m/z"	"0.47%"	"0.548%"	345	2.9	106	48065		0					0				91		94						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\SHOOKERI280_170412_3.FIN"	19522679	">N-Isopropylethylenediamine"	5.1025	843	6.4	"8.1%"	"72 m/z (91)"	"4.0%"	"0.0238%"	354	1.4	21	5557		0					0				81		81						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\SHOOKERI280_170412_3.FIN"	100414	">Ethylbenzene"	5.1151	843.7	5.3	"8.8%"	"91 m/z (72)"	"5.9%"	"0.0172%"	356	1.2	21	3843		0					0				84		84						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\SHOOKERI280_170412_3.FIN"	108383	">Benzene, 1,3-dimethyl-"	5.2648	851.8	6.1	"42%"	"91 m/z"	"2.9%"	"0.0454%"	383	1	33	7607		0					0				87		87						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\SHOOKERI280_170412_3.FIN"	98000	">2-Furanmethanol"	5.2928	853.3	6.2	"82%"	"98 m/z"	"0.72%"	"0.455%"	387	2.5	98	31318		0					0				90		90						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\SHOOKERI280_170412_3.FIN"	694871	">Bicyclo[4.2.0]octa-1,3,5-triene"	5.6672	873.5	5.4	"35%"	"104 m/z"	"4.5%"	"0.0394%"	453	1.1	31	4950		0					0				82		85						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\SHOOKERI280_170412_3.FIN"	108656	">1-Methoxy-2-propyl acetate"	5.7026	875.5	">19"	"32%"	"TIC"	"7.0%"	"0.0854%"	459	1.4	33	3235		0					0				58		66						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\SHOOKERI280_170412_3.FIN"	111842	">Nonane"	5.8175	881.7	4.5	"17%"	"57 m/z"	"4.4%"	"0.0172%"	479	1	25	5042		0					0				78		78						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\SHOOKERI280_170412_3.FIN"	111717	">Heptanal"	5.8735	884.7	5.9	"27%"	"TIC"	"6.1%"	"0.0185%"	489	1.2	33	3674		0					0				84		85						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\SHOOKERI280_170412_3.FIN"	36850665	">Ethoxy(dimethyl)isopropylsilane"	5.9386	888.2	6.2	"31%"	"103 m/z"	"3.8%"	"0.0444%"	500	2.4	30	5853		0					0				65		66						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\SHOOKERI280_170412_3.FIN"	100663	">Anisole"	6.1661	900.5	5.2	"53%"	"108 m/z"	"3.1%"	"0.0735%"	540	1.3	45	7264		0					0				92		92						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\SHOOKERI280_170412_3.FIN"	100663	">Anisole"	6.1701	900.7	5.7	"51%"	"TIC"	"3.1%"	"0.0561%"	541	1.3	45	7127		0					0				91		91						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\SHOOKERI280_170412_3.FIN"	3326714	">2-Furancarboxylic acid, hydrazide"	6.2707	906.3	4.9	"43%"	"95 m/z"	"2.1%"	"0.0327%"	558	1.5	31	10784		0					0				97		97						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\SHOOKERI280_170412_3.FIN"	3008400	">1,2-Cyclopentanedione"	6.3759	912.1	7.6	"93%"	"98 m/z"	"0.096%"	"2.28%"	577	0.4	212	234119		0					0				91		91						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\SHOOKERI280_170412_3.FIN"	77572680	">Butanal, 3,3-dimethyl-2-oxo-, hemihydrate"	6.6748	928.7	5	"21%"	"57 m/z"	"3.8%"	"0.0208%"	629	1.5	26	5917		0					0				88		92						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\SHOOKERI280_170412_3.FIN"	100527	">Benzaldehyde"	6.9811	945.6	5.2	"86%"	"105 m/z"	"0.49%"	"0.503%"	683	1.6	117	45894		0					0				94		96						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\SHOOKERI280_170412_3.FIN"	"EPA-368261"	">Formic acid, 2,4-dimethylpent-3-yl ester"	7.3046	963.6	5.3	"42%"	"101 m/z (57)"	"2.7%"	"0.0610%"	739	1.7	40	8219		0					0				68		78						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\SHOOKERI280_170412_3.FIN"	3391864	">1-Octen-3-ol"	7.3292	964.9	6.2	"61%"	"57 m/z (101)"	"0.52%"	"0.288%"	744	2.5	74	43538		0					0				92		94						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\SHOOKERI280_170412_3.FIN"	108952	">Phenol"	7.3835	967.9	5.6	"12%"	"94 m/z"	"4.4%"	"0.0224%"	753	1.3	25	5069		0					0				85		85						
"Z:\MEDIA\C\PROGRAM FILES (X86)\NIST17\AMDIS32\DATA\BATCH170420\SHOOKERI280_170412_3.FIN"	106683	">3-Octanone"	7.4561	972	4.5	"49%"	"57 m/z"	"0.75%"	"0.169%"	766	1.4	75	29871		0					0				92		92						
